dirid,first,last,fullname,female,ethnicity,ethnicity_recode,names,predictions,confidences,predictions_recode,predictions_recode_strict
1475.0,david,jones,DAVID A JONES,0.0,C,White,DAVID A JONES,Celtic,79.637,White,White
1476.0,james,glasser,JAMES J GLASSER,0.0,C,White,JAMES J GLASSER,Celtic,69.957,White,Unknown
1477.0,arthur,martinez,ARTHUR C MARTINEZ,0.0,C,White,ARTHUR C MARTINEZ,Hispanic,95.456,Hispanic,Hispanic
1478.0,david,jones,DAVID A JONES JR.,,CAUCASIAN,White,DAVID A JONES JR.,Hispanic,97.179,Hispanic,Hispanic
1479.0,william,powell,WILLIAM POWELL,,CAUCASIAN,White,WILLIAM POWELL,Celtic,90.622,White,White
1480.0,michael,bracy,MICHAEL B BRACY,,U,Unknown,MICHAEL B BRACY,African,43.518,Black,Unknown
1482.0,william,aldinger,WILLIAM F ALDINGER,,CAUCASIAN,White,WILLIAM F ALDINGER,Celtic,84.724,White,White
1483.0,fred,bauer,FRED BAUER,0.0,C,White,FRED BAUER,European,68.62,White,Unknown
1484.0,john,mulder,JOHN MULDER,,UNKNOWN,Unknown,JOHN MULDER,Celtic,56.076,White,Unknown
1485.0,kenneth,la,KENNETH LA GRAND,,UNKNOWN,Unknown,KENNETH LA GRAND,Celtic,66.14,White,Unknown
1486.0,arlyn,lanting,ARLYN LANTING,,UNKNOWN,Unknown,ARLYN LANTING,Hispanic,97.34,Hispanic,Hispanic
1488.0,william,mcguire,WILLIAM W MCGUIRE,0.0,Caucasian,White,WILLIAM W MCGUIRE,Celtic,94.313,White,White
1489.0,richard,burke,RICHARD T. BURKE SR.,,CAUCASIAN,White,RICHARD T. BURKE SR.,Celtic,67.603,White,Unknown
1490.0,paul,charron,PAUL R CHARRON,0.0,Caucasian,White,PAUL R CHARRON,Celtic,90.559,White,White
1491.0,donald,graham,DONALD E GRAHAM,0.0,C,White,DONALD E GRAHAM,Celtic,71.822,White,Unknown
1493.0,richard,simmons,RICHARD D SIMMONS,0.0,C,White,RICHARD D SIMMONS,Celtic,87.304,White,White
1494.0,harold,messmer,HAROLD M MESSMER JR,0.0,C,White,HAROLD M MESSMER JR,Hispanic,93.771,Hispanic,Hispanic
1495.0,frederick,richman,FREDERICK A. RICHMAN,,UNKNOWN,Unknown,FREDERICK A. RICHMAN,Celtic,65.777,White,Unknown
1496.0,thomas,ryan,THOMAS J RYAN,0.0,U,Unknown,THOMAS J RYAN,Celtic,82.371,White,White
1498.0,anthony,deering,ANTHONY W. DEERING,,CAUCASIAN,White,ANTHONY W. DEERING,Celtic,81.636,White,White
1501.0,george,gillespie,GEORGE J GILLESPIE III,0.0,U,Unknown,GEORGE J GILLESPIE III,European,47.49,White,Unknown
1502.0,peter,solomon,PETER J SOLOMON,0.0,C,White,PETER J SOLOMON,Celtic,59.356,White,Unknown
1503.0,bruce,willison,BRUCE G WILLISON,0.0,C,White,BRUCE G WILLISON,Celtic,52.514,White,Unknown
1504.0,frank,grzelecki,FRANK E. GRZELECKI,,CAUCASIAN,White,FRANK E. GRZELECKI,European,72.374,White,White
1505.0,robert,haddock,ROBERT M HADDOCK,0.0,C,White,ROBERT M HADDOCK,Celtic,89.283,White,White
1506.0,paul,rubeli,PAUL E RUBELI,0.0,U,Unknown,PAUL E RUBELI,Celtic,53.348,White,Unknown
1507.0,glenn,simmons,GLENN R. SIMMONS,,CAUCASIAN,White,GLENN R. SIMMONS,Celtic,75.31,White,White
1508.0,harold,simmons,HAROLD C SIMMONS,,UNKNOWN,Unknown,HAROLD C SIMMONS,Celtic,64.667,White,Unknown
1509.0,charles,clough,CHARLES M CLOUGH,0.0,U,Unknown,CHARLES M CLOUGH,Celtic,82.817,White,White
1514.0,lee,foster,LEE B. FOSTER II,,UNKNOWN,Unknown,LEE B. FOSTER II,EastAsian,71.59,Asian,Unknown
1518.0,thomas,dignan,THOMAS G DIGNAN JR,0.0,U,Unknown,THOMAS G DIGNAN JR,Hispanic,90.826,Hispanic,Hispanic
1519.0,earl,swift,A EARL SWIFT,0.0,C,White,A EARL SWIFT,Celtic,78.762,White,White
1520.0,virgil,swift,VIRGIL N SWIFT,0.0,C,White,VIRGIL N SWIFT,European,70.388,White,Unknown
1525.0,ronald,gross,RONALD M GROSS,0.0,C,White,RONALD M GROSS,Celtic,64.696,White,Unknown
1526.0,ernest,mario,ERNEST MARIO,0.0,Caucasian,White,ERNEST MARIO,Hispanic,65.021,Hispanic,Unknown
1527.0,tully,friedman,TULLY M FRIEDMAN,0.0,C,White,TULLY M FRIEDMAN,African,50.328,Black,Unknown
1531.0,michael,ruettgers,MICHAEL C RUETTGERS,0.0,C,White,MICHAEL C RUETTGERS,African,65.616,Black,Unknown
1532.0,michael,cronin,MICHAEL J CRONIN,0.0,U,Unknown,MICHAEL J CRONIN,Celtic,65.046,White,Unknown
1533.0,paul,fitzgerald,W PAUL FITZGERALD,0.0,C,White,W PAUL FITZGERALD,Celtic,89.674,White,White
1538.0,robert,allbritton,ROBERT L ALLBRITTON,0.0,C,White,ROBERT L ALLBRITTON,Celtic,91.545,White,White
1541.0,lawrence,hebert,LAWRENCE I HEBERT,,U,Unknown,LAWRENCE I HEBERT,African,95.588,Black,Black
1542.0,steven,pfeiffer,STEVEN B PFEIFFER,0.0,U,Unknown,STEVEN B PFEIFFER,African,42.763,Black,Unknown
1543.0,jack,valenti,JACK VALENTI,0.0,U,Unknown,JACK VALENTI,European,77.921,White,White
1544.0,william,ford,WILLIAM CLAY FORD JR.,,CAUCASIAN,White,WILLIAM CLAY FORD JR.,Celtic,36.46,White,Unknown
1545.0,jimmy,dew,JIMMY A. DEW,,CAUCASIAN,White,JIMMY A. DEW,EastAsian,73.532,Asian,Asian
1546.0,william,simpson,WILLIAM A SIMPSON,,UNKNOWN,Unknown,WILLIAM A SIMPSON,Celtic,71.534,White,Unknown
1547.0,peter,lardner,PETER LARDNER,0.0,U,Unknown,PETER LARDNER,Celtic,58.308,White,Unknown
1548.0,anthony,colao,ANTHONY F COLAO,0.0,U,Unknown,ANTHONY F COLAO,Hispanic,95.815,Hispanic,Hispanic
1549.0,a,zucaro,A C ZUCARO,0.0,U,Unknown,A C ZUCARO,European,87.63,White,White
1550.0,john,kelly,JOHN F. KELLY,,CAUCASIAN,White,JOHN F. KELLY,Celtic,92.693,White,White
1552.0,bruce,kennedy,BRUCE R KENNEDY,0.0,C,White,BRUCE R KENNEDY,Celtic,65.711,White,Unknown
1553.0,paul,montrone,PAUL M MONTRONE,0.0,U,Unknown,PAUL M MONTRONE,Celtic,70.773,White,Unknown
1554.0,herbert,kelleher,HERBERT D KELLEHER,0.0,C,White,HERBERT D KELLEHER,European,74.266,White,White
1555.0,webb,crockett,C WEBB CROCKETT,0.0,U,Unknown,C WEBB CROCKETT,Celtic,88.488,White,White
1556.0,travis,johnson,TRAVIS C. JOHNSON,,CAUCASIAN,White,TRAVIS C. JOHNSON,African,84.706,Black,Black
1558.0,kenneth,orce,KENNETH W ORCE,,U,Unknown,KENNETH W ORCE,Celtic,79.537,White,White
1560.0,melvin,cohen,MELVIN S COHEN,,U,Unknown,MELVIN S COHEN,African,41.545,Black,Unknown
1561.0,maryjo,cohen,MARYJO COHEN,1.0,U,Unknown,MARYJO COHEN,Hispanic,81.259,Hispanic,Hispanic
1562.0,richard,evans,RICHARD W EVANS JR,0.0,Caucasian,White,RICHARD W EVANS JR,Hispanic,68.956,Hispanic,Unknown
1563.0,isaac,arnold,ISAAC ARNOLD JR,0.0,C,White,ISAAC ARNOLD JR,Hispanic,98.321,Hispanic,Hispanic
1564.0,tom,frost,TOM C FROST,0.0,C,White,TOM C FROST,Celtic,75.705,White,White
1565.0,james,hayne,JAMES L HAYNE,0.0,Caucasian,White,JAMES L HAYNE,Celtic,91.268,White,White
1567.0,robert,mcclane,ROBERT S MCCLANE,0.0,C,White,ROBERT S MCCLANE,Celtic,90.92,White,White
1570.0,smith,lanier,J SMITH LANIER II,0.0,C,White,J SMITH LANIER II,EastAsian,60.05,Asian,Unknown
1572.0,carl,gable,CARL I. GABLE,,CAUCASIAN,White,CARL I. GABLE,Celtic,48.288,White,Unknown
1573.0,ray,anderson,RAY C ANDERSON,0.0,U,Unknown,RAY C ANDERSON,Celtic,64.894,White,Unknown
1576.0,charles,eitel,CHARLES R. EITEL,,CAUCASIAN,White,CHARLES R. EITEL,European,33.988,White,Unknown
1578.0,robert,recchia,ROBERT L RECCHIA,0.0,Caucasian,White,ROBERT L RECCHIA,Celtic,37.084,White,Unknown
1579.0,john,turner,JOHN G TURNER,0.0,U,Unknown,JOHN G TURNER,Celtic,90.361,White,White
1581.0,john,keeler,JOHN M KEELER,0.0,C,White,JOHN M KEELER,Celtic,80.181,White,White
1587.0,dieter,huckestein,DIETER H HUCKESTEIN,0.0,C,White,DIETER H HUCKESTEIN,European,90.05,White,White
1589.0,barry,galt,BARRY J GALT,0.0,C,White,BARRY J GALT,Celtic,88.431,White,White
1590.0,j,hunt,J B HUNT,,U,Unknown,J B HUNT,Celtic,79.753,White,White
1591.0,johnelle,hunt,JOHNELLE D HUNT,1.0,U,Unknown,JOHNELLE D HUNT,Celtic,81.164,White,White
1592.0,kirk,thompson,KIRK THOMPSON,0.0,Caucasian,White,KIRK THOMPSON,Celtic,80.153,White,White
1593.0,wilfred,corrigan,WILFRED J CORRIGAN,,CAUCASIAN,White,WILFRED J CORRIGAN,Celtic,88.845,White,White
1594.0,jonathan,kagan,JONATHAN H KAGAN,0.0,Unknown,Unknown,JONATHAN H KAGAN,Celtic,83.398,White,White
1595.0,william,bindley,WILLIAM BINDLEY,,CAUCASIAN,White,WILLIAM BINDLEY,Celtic,88.416,White,White
1596.0,andrew,galef,ANDREW G GALEF,0.0,Caucasian,White,ANDREW G GALEF,Celtic,70.316,White,Unknown
1597.0,paul,evanson,PAUL J. EVANSON,,CAUCASIAN,White,PAUL J. EVANSON,Celtic,90.805,White,White
1598.0,richard,reynolds,RICHARD I REYNOLDS,0.0,U,Unknown,RICHARD I REYNOLDS,Celtic,66.923,White,Unknown
1599.0,john,meier,JOHN F MEIER,0.0,C,White,JOHN F MEIER,European,43.633,White,Unknown
1600.0,michael,mccormick,MICHAEL D MCCORMICK,0.0,U,Unknown,MICHAEL D MCCORMICK,Celtic,85.796,White,White
1601.0,thomas,salentine,THOMAS J SALENTINE,0.0,C,White,THOMAS J SALENTINE,European,56.957,White,Unknown
1602.0,clifford,illig,CLIFFORD ILLIG,,CAUCASIAN,White,CLIFFORD ILLIG,African,46.146,Black,Unknown
1603.0,neal,patterson,NEAL PATTERSON,,CAUCASIAN,White,NEAL PATTERSON,Celtic,83.821,White,White
1604.0,frank,borelli,FRANK J BORELLI,,UNKNOWN,Unknown,FRANK J BORELLI,European,88.858,White,White
1605.0,jc,smith,A JC SMITH,0.0,C,White,A JC SMITH,Celtic,52.935,White,Unknown
1606.0,peter,coster,PETER COSTER,,U,Unknown,PETER COSTER,Celtic,73.296,White,White
1609.0,thomas,duff,THOMAS M DUFF,0.0,C,White,THOMAS M DUFF,European,45.974,White,Unknown
1612.0,erroll,davis,ERROLL B DAVIS JR,0.0,B,Black,ERROLL B DAVIS JR,Hispanic,90.267,Hispanic,Hispanic
1613.0,judith,pyle,JUDITH D PYLE,1.0,U,Unknown,JUDITH D PYLE,Celtic,89.963,White,White
1615.0,john,croweak,JOHN F CROWEAK,,CAUCASIAN,White,JOHN F CROWEAK,Celtic,92.427,White,White
1617.0,edward,hutton,EDWARD L HUTTON,0.0,Caucasian,White,EDWARD L HUTTON,Celtic,78.509,White,White
1618.0,joel,gemunder,JOEL F GEMUNDER,0.0,C,White,JOEL F GEMUNDER,European,65.193,White,Unknown
1620.0,david,lewis,DAVID B. LEWIS,,UNKNOWN,Unknown,DAVID B. LEWIS,Celtic,90.418,White,White
1623.0,thomas,hutton,THOMAS C HUTTON,0.0,Caucasian,White,THOMAS C HUTTON,Celtic,85.165,White,White
1624.0,sandra,laney,SANDRA E LANEY,1.0,C,White,SANDRA E LANEY,Celtic,76.656,White,White
1625.0,kevin,mcnamara,KEVIN J MCNAMARA,0.0,U,Unknown,KEVIN J MCNAMARA,Celtic,78.875,White,White
1626.0,richard,parsons,RICHARD D PARSONS,,AFRICAN-AMERICAN,Black,RICHARD D PARSONS,Celtic,90.514,White,White
1627.0,david,friedson,DAVID M FRIEDSON,0.0,C,White,DAVID M FRIEDSON,Celtic,61.718,White,Unknown
1629.0,lai,kin,LAI KIN,0.0,B,Black,LAI KIN,EastAsian,98.65,Asian,Asian
1631.0,bernard,schwartz,BERNARD L SCHWARTZ,0.0,U,Unknown,BERNARD L SCHWARTZ,African,93.544,Black,Black
1632.0,charles,davis,CHARLES A DAVIS,0.0,C,White,CHARLES A DAVIS,Celtic,58.019,White,Unknown
1633.0,joseph,melone,JOSEPH J MELONE,0.0,Caucasian,White,JOSEPH J MELONE,European,44.332,White,Unknown
1634.0,jerry,satrum,JERRY R. SATRUM,,CAUCASIAN,White,JERRY R. SATRUM,Celtic,31.268,White,Unknown
1638.0,james,seward,JAMES R SEWARD,,U,Unknown,JAMES R SEWARD,Celtic,93.182,White,White
1640.0,john,edwardson,JOHN A. EDWARDSON,,CAUCASIAN,White,JOHN A. EDWARDSON,Celtic,73.969,White,White
1641.0,earl,graves,EARL G GRAVES,0.0,U,Unknown,EARL G GRAVES,Celtic,74.256,White,White
1642.0,william,chaney,WILLIAM R CHANEY,0.0,C,White,WILLIAM R CHANEY,Celtic,87.634,White,White
1643.0,michael,kowalski,MICHAEL J KOWALSKI,,CAUCASIAN,White,MICHAEL J KOWALSKI,European,88.636,White,White
1644.0,james,quinn,JAMES E QUINN,,U,Unknown,JAMES E QUINN,Celtic,88.465,White,White
1645.0,charles,marquis,CHARLES K MARQUIS,,CAUCASIAN,White,CHARLES K MARQUIS,Hispanic,81.277,Hispanic,Hispanic
1647.0,samuel,ginn,SAMUEL L GINN,0.0,C,White,SAMUEL L GINN,Celtic,35.187,White,Unknown
1648.0,herbert,champlin,HERBERT H CHAMPLIN,0.0,C,White,HERBERT H CHAMPLIN,Celtic,76.49,White,White
1649.0,james,gibbs,JAMES R. GIBBS,,CAUCASIAN,White,JAMES R. GIBBS,Celtic,95.412,White,White
1651.0,timothy,otoole,TIMOTHY S O'TOOLE,0.0,C,White,TIMOTHY S O'TOOLE,African,95.011,Black,Black
1655.0,walter,krebs,WALTER L KREBS,,CAUCASIAN,White,WALTER L KREBS,European,47.643,White,Unknown
1657.0,bruce,hanks,W HANKS,,CAUCASIAN,White,W HANKS,Celtic,77.602,White,White
1658.0,glen,post,GLEN F POST III,0.0,C,White,GLEN F POST III,Hispanic,73.241,Hispanic,Hispanic
1660.0,harvey,perry,HARVEY P PERRY,0.0,C,White,HARVEY P PERRY,Celtic,73.499,White,White
1661.0,william,boles,WILLIAM R BOLES JR,0.0,C,White,WILLIAM R BOLES JR,Hispanic,98.643,Hispanic,Hispanic
1663.0,r,hargrove,R L HARGROVE JR,0.0,C,White,R L HARGROVE JR,Hispanic,77.749,Hispanic,Hispanic
1665.0,john,obrien,JOHN F O'BRIEN,0.0,C,White,JOHN F O'BRIEN,Nordic,45.056,White,Unknown
1666.0,henri,termeer,HENRI A TERMEER,0.0,C,White,HENRI A TERMEER,European,60.12,White,Unknown
1667.0,henry,blair,HENRY E BLAIR,0.0,U,Unknown,HENRY E BLAIR,African,63.516,Black,Unknown
1668.0,charles,cooney,CHARLES L COONEY,0.0,C,White,CHARLES L COONEY,Celtic,88.962,White,White
1669.0,robert,carpenter,ROBERT J CARPENTER,0.0,U,Unknown,ROBERT J CARPENTER,Celtic,89.763,White,White
1670.0,douglas,berthiaume,DOUGLAS A. BERTHIAUME,,CAUCASIAN,White,DOUGLAS A. BERTHIAUME,African,95.818,Black,Black
1671.0,joseph,williams,JOSEPH H WILLIAMS,0.0,C,White,JOSEPH H WILLIAMS,Celtic,62.955,White,Unknown
1672.0,richard,grigg,RICHARD GRIGG,,CAUCASIAN,White,RICHARD GRIGG,Celtic,49.433,White,Unknown
1673.0,richard,abdoo,RICHARD A ABDOO,0.0,C,White,RICHARD A ABDOO,African,90.754,Black,Black
1678.0,henry,duques,HENRY C DUQUES,0.0,Caucasian,White,HENRY C DUQUES,Hispanic,95.305,Hispanic,Hispanic
1680.0,james,oesterreicher,JAMES E OESTERREICHER,0.0,C,White,JAMES E OESTERREICHER,Celtic,77.882,White,White
1681.0,kent,kresa,KENT KRESA,,CAUCASIAN,White,KENT KRESA,Nordic,99.319,White,White
1683.0,anthony,marlon,ANTHONY M MARLON,0.0,C,White,ANTHONY M MARLON,Hispanic,44.417,Hispanic,Unknown
1684.0,erin,macdonald,ERIN E MACDONALD,1.0,U,Unknown,ERIN E MACDONALD,African,49.162,Black,Unknown
1685.0,william,raggio,WILLIAM J RAGGIO,0.0,C,White,WILLIAM J RAGGIO,Celtic,41.813,White,Unknown
1686.0,francis,mckone,FRANCIS L MCKONE,0.0,U,Unknown,FRANCIS L MCKONE,Celtic,85.34,White,White
1688.0,kenneth,looloian,J KENNETH LOOLOIAN,,U,Unknown,J KENNETH LOOLOIAN,Celtic,46.074,White,Unknown
1691.0,charles,farrell,CHARLES F FARRELL JR,0.0,U,Unknown,CHARLES F FARRELL JR,Hispanic,45.977,Hispanic,Unknown
1692.0,louis,borick,LOUIS L BORICK,0.0,C,White,LOUIS L BORICK,Celtic,47.94,White,Unknown
1693.0,raymond,brown,RAYMOND C BROWN,0.0,C,White,RAYMOND C BROWN,Celtic,60.761,White,Unknown
1694.0,jeffrey,ornstein,R JEFFREY ORNSTEIN,0.0,C,White,R JEFFREY ORNSTEIN,African,53.36,Black,Unknown
1695.0,steven,borick,STEVEN J BORICK,0.0,Unknown,Unknown,STEVEN J BORICK,Celtic,76.973,White,White
1698.0,bruce,crawford,BRUCE CRAWFORD,0.0,C,White,BRUCE CRAWFORD,Celtic,54.332,White,Unknown
1701.0,john,wren,JOHN D. WREN,,CAUCASIAN,White,JOHN D. WREN,Celtic,76.299,White,White
1704.0,larry,kirk,LARRY G. KIRK,,CAUCASIAN,White,LARRY G. KIRK,Celtic,85.268,White,White
1705.0,john,spiegel,JOHN W. SPIEGEL,,UNKNOWN,Unknown,JOHN W. SPIEGEL,Celtic,46.866,White,Unknown
1707.0,david,simon,DAVID E SIMON,0.0,C,White,DAVID E SIMON,Celtic,57.405,White,Unknown
1708.0,james,smith,JAMES C SMITH,,CAUCASIAN,White,JAMES C SMITH,Celtic,81.58,White,White
1709.0,daniel,brunner,DANIEL S BRUNNER,0.0,C,White,DANIEL S BRUNNER,Celtic,35.514,White,Unknown
1710.0,charles,bayless,CHARLES E BAYLESS,,U,Unknown,CHARLES E BAYLESS,Celtic,62.195,White,Unknown
1711.0,thomas,pritzker,THOMAS PRITZKER,,CAUCASIAN,White,THOMAS PRITZKER,European,79.985,White,White
1714.0,john,welsh,JOHN E. WELSH III,,CAUCASIAN,White,JOHN E. WELSH III,EastAsian,65.412,Asian,Unknown
1719.0,robert,tillman,ROBERT L. TILLMAN,,CAUCASIAN,White,ROBERT L. TILLMAN,Nordic,87.514,White,White
1720.0,robert,strickland,ROBERT L STRICKLAND,0.0,U,Unknown,ROBERT L STRICKLAND,Nordic,45.887,White,Unknown
1721.0,herbert,baum,HERBERT M BAUM,0.0,C,White,HERBERT M BAUM,European,56.391,White,Unknown
1722.0,lawrence,sills,LAWRENCE I SILLS,,UNKNOWN,Unknown,LAWRENCE I SILLS,Celtic,57.955,White,Unknown
1723.0,arthur,davis,ARTHUR D DAVIS,0.0,U,Unknown,ARTHUR D DAVIS,Celtic,84.113,White,White
1724.0,paul,raether,PAUL E RAETHER,,U,Unknown,PAUL E RAETHER,Celtic,49.576,White,Unknown
1725.0,richard,lesser,RICHARD G LESSER,0.0,C,White,RICHARD G LESSER,Celtic,56.804,White,Unknown
1728.0,howard,smith,HOWARD I SMITH,0.0,C,White,HOWARD I SMITH,Celtic,75.615,White,White
1729.0,charles,scharlau,CHARLES E. SCHARLAU,,CAUCASIAN,White,CHARLES E. SCHARLAU,African,44.344,Black,Unknown
1732.0,stuart,moldaw,STUART G MOLDAW,0.0,C,White,STUART G MOLDAW,Celtic,85.348,White,White
1735.0,howard,cosgrove,HOWARD E. COSGROVE,,CAUCASIAN,White,HOWARD E. COSGROVE,Celtic,77.678,White,White
1736.0,richard,hill,RICHARD S HILL,,U,Unknown,RICHARD S HILL,Celtic,84.263,White,White
1737.0,john,mack,JOHN J MACK,0.0,Caucasian,White,JOHN J MACK,Celtic,81.619,White,White
1739.0,leonard,lodish,LEONARD M LODISH,,U,Unknown,LEONARD M LODISH,Celtic,52.915,White,Unknown
1740.0,scott,sheffield,SCOTT D. SHEFFIELD,,CAUCASIAN,White,SCOTT D. SHEFFIELD,Celtic,90.602,White,White
1742.0,ngaire,cuneo,NGAIRE E. CUNEO,,CAUCASIAN,White,NGAIRE E. CUNEO,Celtic,44.14,White,Unknown
1744.0,kenneth,mourton,KENNETH R. MOURTON,,CAUCASIAN,White,KENNETH R. MOURTON,Celtic,87.044,White,White
1745.0,victor,lund,VICTOR L. LUND,,CAUCASIAN,White,VICTOR L. LUND,Nordic,98.613,White,White
1746.0,henry,bryant,HENRY I BRYANT,0.0,C,White,HENRY I BRYANT,Celtic,65.411,White,Unknown
1747.0,arthur,aronson,ARTHUR H ARONSON,0.0,U,Unknown,ARTHUR H ARONSON,Celtic,71.606,White,Unknown
1748.0,robert,bozzone,ROBERT P BOZZONE,0.0,C,White,ROBERT P BOZZONE,European,84.523,White,White
1749.0,parker,petit,PARKER H PETIT,,UNKNOWN,Unknown,PARKER H PETIT,Hispanic,49.927,Hispanic,Unknown
1751.0,daniel,landguth,DANIEL P LANDGUTH,0.0,C,White,DANIEL P LANDGUTH,European,69.788,White,Unknown
1753.0,edward,penhoet,EDWARD E PENHOET,0.0,C,White,EDWARD E PENHOET,European,44.453,White,Unknown
1754.0,pierre,douaze,PIERRE DOUAZE,,U,Unknown,PIERRE DOUAZE,Muslim,59.373,MiddleEastern,Unknown
1755.0,eugene,miller,EUGENE A. MILLER,,CAUCASIAN,White,EUGENE A. MILLER,African,70.744,Black,Unknown
1757.0,hutham,olayan,HUTHAM S. OLAYAN,,ASIAN,Asian,HUTHAM S. OLAYAN,African,94.545,Black,Black
1758.0,herbert,kurz,HERBERT KURZ,0.0,U,Unknown,HERBERT KURZ,European,94.283,White,White
1759.0,leonard,tow,LEONARD TOW,,U,Unknown,LEONARD TOW,Celtic,72.292,White,White
1760.0,aaron,fleischman,AARON I FLEISCHMAN,0.0,C,White,AARON I FLEISCHMAN,Celtic,47.14,White,Unknown
1762.0,alex,dillard,ALEX DILLARD,0.0,C,White,ALEX DILLARD,Celtic,73.03,White,White
1763.0,james,zimmerman,JAMES M ZIMMERMAN,0.0,C,White,JAMES M ZIMMERMAN,Celtic,87.703,White,White
1764.0,ronald,tysoe,RONALD W TYSOE,0.0,C,White,RONALD W TYSOE,African,43.063,Black,Unknown
1765.0,joseph,neubauer,JOSEPH NEUBAUER,0.0,C,White,JOSEPH NEUBAUER,European,85.555,White,White
1768.0,etienne,davignon,ETIENNE F. DAVIGNON,,CAUCASIAN,White,ETIENNE F. DAVIGNON,European,35.737,White,Unknown
1770.0,richard,snyder,RICHARD D SNYDER,0.0,C,White,RICHARD D SNYDER,Celtic,73.971,White,White
1771.0,theodore,waitt,THEODORE W WAITT,,U,Unknown,THEODORE W WAITT,Celtic,49.29,White,Unknown
1772.0,claude,kronk,CLAUDE F. KRONK,,CAUCASIAN,White,CLAUDE F. KRONK,European,87.889,White,White
1773.0,william,matthews,WILLIAM D MATTHEWS,0.0,U,Unknown,WILLIAM D MATTHEWS,Celtic,93.592,White,White
1776.0,jerry,choate,JERRY D CHOATE,,CAUCASIAN,White,JERRY D CHOATE,Celtic,83.584,White,White
1778.0,steven,rales,STEVEN M. RALES,,UNKNOWN,Unknown,STEVEN M. RALES,Celtic,76.128,White,White
1779.0,mitchell,rales,MITCHELL P. RALES,,UNKNOWN,Unknown,MITCHELL P. RALES,Hispanic,90.831,Hispanic,Hispanic
1781.0,mortimer,caplin,MORTIMER M CAPLIN,0.0,C,White,MORTIMER M CAPLIN,Celtic,59.656,White,Unknown
1784.0,arnold,nemirow,ARNOLD M NEMIROW,0.0,U,Unknown,ARNOLD M NEMIROW,African,76.071,Black,Black
1785.0,david,hughes,DAVID H. HUGHES,,CAUCASIAN,White,DAVID H. HUGHES,Celtic,89.675,White,White
1786.0,vincent,hughes,VINCENT S HUGHES,0.0,U,Unknown,VINCENT S HUGHES,Celtic,82.181,White,White
1787.0,robert,blackford,ROBERT N BLACKFORD,0.0,U,Unknown,ROBERT N BLACKFORD,Celtic,81.709,White,White
1788.0,dan,smith,DAN F SMITH,0.0,C,White,DAN F SMITH,Celtic,45.693,White,Unknown
1789.0,nordahl,brue,NORDAHL L BRUE,0.0,U,Unknown,NORDAHL L BRUE,Celtic,42.668,White,Unknown
1791.0,james,barnes,JAMES E BARNES,0.0,C,White,JAMES E BARNES,Celtic,90.147,White,White
1792.0,robert,jepson,ROBERT S JEPSON JR,0.0,C,White,ROBERT S JEPSON JR,Hispanic,98.074,Hispanic,Hispanic
1793.0,stuart,rose,STUART ROSE,,CAUCASIAN,White,STUART ROSE,Celtic,72.318,White,White
1794.0,lawrence,tomchin,LAWRENCE TOMCHIN,,CAUCASIAN,White,LAWRENCE TOMCHIN,Hispanic,76.761,Hispanic,Hispanic
1795.0,david,watts,DAVID H WATTS,0.0,C,White,DAVID H WATTS,Celtic,81.766,White,White
1796.0,edward,kress,EDWARD KRESS,,CAUCASIAN,White,EDWARD KRESS,Celtic,66.513,White,Unknown
1797.0,stewart,bryan,J STEWART BRYAN III,0.0,C,White,J STEWART BRYAN III,Celtic,84.206,White,White
1798.0,stanley,zax,STANLEY R ZAX,,U,Unknown,STANLEY R ZAX,Celtic,50.44,White,Unknown
1802.0,david,fuente,DAVID I FUENTE,0.0,C,White,DAVID I FUENTE,European,59.595,White,Unknown
1803.0,david,duffield,DAVID A DUFFIELD,0.0,C,White,DAVID A DUFFIELD,Celtic,87.768,White,White
1804.0,john,swope,JOHN F. SWOPE,,CAUCASIAN,White,JOHN F. SWOPE,Celtic,94.635,White,White
1805.0,james,barr,JAMES BARR III,0.0,C,White,JAMES BARR III,Celtic,68.749,White,Unknown
1806.0,leroy,carlson,LEROY T. CARLSON JR.,,CAUCASIAN,White,LEROY T. CARLSON JR.,Hispanic,85.221,Hispanic,Hispanic
1807.0,michael,goldstein,MICHAEL GOLDSTEIN,0.0,C,White,MICHAEL GOLDSTEIN,European,42.598,White,Unknown
1808.0,robert,nakasone,ROBERT C NAKASONE,0.0,U,Unknown,ROBERT C NAKASONE,European,74.645,White,White
1809.0,leroy,carlson,LEROY T CARLSON,0.0,U,Unknown,LEROY T CARLSON,Celtic,69.512,White,Unknown
1811.0,donald,nebergall,DONALD C. NEBERGALL,,UNKNOWN,Unknown,DONALD C. NEBERGALL,Celtic,77.954,White,White
1812.0,walter,carlson,WALTER CD CARLSON,0.0,C,White,WALTER CD CARLSON,Celtic,78.392,White,White
1813.0,herbert,wander,HERBERT S. WANDER,,CAUCASIAN,White,HERBERT S. WANDER,European,38.414,White,Unknown
1814.0,john,gottwald,JOHN D GOTTWALD,0.0,U,Unknown,JOHN D GOTTWALD,Celtic,68.824,White,Unknown
1815.0,norman,scher,NORMAN A SCHER,0.0,Caucasian,White,NORMAN A SCHER,African,51.576,Black,Unknown
1816.0,floyd,gottwald,FLOYD D GOTTWALD JR,0.0,C,White,FLOYD D GOTTWALD JR,Hispanic,93.448,Hispanic,Hispanic
